ami-0932229eb210ecf6b, i-0bd05f9f20028cf07, m4.xlarge, olap, ec2-52-221-232-249.ap-southeast-1.compute.amazonaws.com, ip-172-31-23-14.ap-southeast-1.compute.internal
ami-0932229eb210ecf6b, i-06b5c0ed3e067df2b, m4.large, olap, ec2-54-151-172-169.ap-southeast-1.compute.amazonaws.com, ip-172-31-19-139.ap-southeast-1.compute.internal
ami-0932229eb210ecf6b, i-0216d14428f1b3402, m4.large, olap, ec2-13-250-43-143.ap-southeast-1.compute.amazonaws.com, ip-172-31-18-145.ap-southeast-1.compute.internal
